jornada,match,result,liga
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Leganés - Alavés en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Deportivo - Getafe en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Leganés - Atlético en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Levante - Alavés en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Sevilla - Málaga en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Barcelona - Las Palmas en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Real Madrid - Espanyol en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,R. Sociedad - Betis en directo,4 - 4,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Valencia - Athletic en directo,3 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_7/,Villarreal - Eibar en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Valencia - Las Palmas en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Celta - R. Sociedad en directo,2 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Girona - Atlético en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Sevilla - Espanyol en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Athletic - Getafe en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Barcelona - Betis en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Deportivo - Real Madrid en directo,0 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Levante - Villarreal en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_1/,Málaga - Eibar en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Barcelona - Málaga en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Levante - Getafe en directo,1 - 1,primera
